cluster	gene
cluster:153	171155
cluster:153	3032
cluster:153	231086
cluster:156	15233
cluster:156	3081
cluster:156	360719
cluster:158	15288
cluster:158	3145
cluster:158	25709
cluster:159	15356
cluster:159	3155
cluster:159	79238
cluster:160	6910
cluster:160	21388
cluster:160	304514
cluster:163	3257
cluster:163	192236
cluster:163	114638
cluster:167	27029
cluster:167	6448
cluster:168	15894
cluster:168	3383
cluster:168	25464
cluster:169	363513
cluster:169	3423
cluster:169	15931
cluster:170	15932
cluster:170	360904
cluster:170	3425
cluster:171	79126
cluster:171	12630
cluster:171	3426
cluster:172	3561
cluster:172	16186
cluster:172	140924
cluster:173	3630
cluster:173	16334
cluster:173	24506
cluster:175	29535
cluster:175	18609
cluster:175	3651
cluster:179	192897
cluster:179	3691
cluster:179	25724
cluster:180	16449
cluster:180	182
cluster:180	29146
cluster:181	3718
cluster:181	25326
cluster:181	16453
cluster:183	16485
cluster:183	24520
cluster:183	3736
cluster:185	16509
cluster:185	102723475
cluster:185	25471
cluster:187	3815
cluster:187	64030
cluster:187	16590
cluster:188	360625
cluster:188	268482
cluster:188	3859
cluster:191	16780
cluster:191	305078
cluster:191	3914
cluster:193	25608
cluster:193	3952
cluster:193	16846
cluster:194	6445
cluster:194	305941
cluster:194	24053
cluster:195	24051
cluster:195	680229
cluster:195	6443
cluster:197	16881
cluster:197	3978
cluster:197	81513
cluster:197	100911727
cluster:199	15450
cluster:199	3990
cluster:199	24538
cluster:200	24539
cluster:200	4023
cluster:200	16956
cluster:201	3757
cluster:201	117018
cluster:201	16511
cluster:203	29253
cluster:203	17161
cluster:203	4128
cluster:206	17295
cluster:206	24553
cluster:206	4233
cluster:207	12265
cluster:207	4261
cluster:207	85483
cluster:208	4292
cluster:208	17350
cluster:208	81685
cluster:210	17685
cluster:210	81709
cluster:210	4436
cluster:212	310900
cluster:212	4547
cluster:212	17777
cluster:215	295929
cluster:215	4607
cluster:215	17868
cluster:219	266714
cluster:219	17921
cluster:219	4647
cluster:220	81523
cluster:220	4653
cluster:220	17926
cluster:221	17939
cluster:221	315165
cluster:221	4668
cluster:222	4669
cluster:222	360630
cluster:222	27419
cluster:223	19206
cluster:223	89830
cluster:223	5727
cluster:225	4693
cluster:225	17986
cluster:226	18015
cluster:226	24592
cluster:226	4763
cluster:227	290029
cluster:227	18950
cluster:227	4860
cluster:227	667034
cluster:228	266732
cluster:228	18145
cluster:228	4864
cluster:229	296136
cluster:229	4867
cluster:229	53885
cluster:230	4935
cluster:230	302619
cluster:230	18241
cluster:231	4942
cluster:231	18242
cluster:231	64313
cluster:233	317576
cluster:233	320634
cluster:233	4952
cluster:234	5053
cluster:234	24616
cluster:234	18478
cluster:236	110821
cluster:236	687008
cluster:236	5095
cluster:237	18587
cluster:237	5158
cluster:237	289878
cluster:239	18624
cluster:239	292808
cluster:239	5184
cluster:240	5193
cluster:240	116718
cluster:240	103737
cluster:242	5191
cluster:242	308718
cluster:242	18634
cluster:246	678739
cluster:246	5256
cluster:246	110094
cluster:247	102093
cluster:247	5257
cluster:247	361377
cluster:250	5310
cluster:250	24650
cluster:250	18763
cluster:253	18772
cluster:253	304822
cluster:253	5317
cluster:254	5320
cluster:254	29692
cluster:256	5351
cluster:256	18822
cluster:256	116552
cluster:257	302915
cluster:257	5373
cluster:257	54128
cluster:259	25517
cluster:259	5449
cluster:259	18736
cluster:260	18994
cluster:260	5456
cluster:260	29589
cluster:262	5498
cluster:262	289219
cluster:262	19044
cluster:264	81750
cluster:264	19128
cluster:264	5627
cluster:265	50557
cluster:265	19211
cluster:265	5728
cluster:266	19226
cluster:266	5741
cluster:266	24694
cluster:267	19228
cluster:267	56813
cluster:267	5745
cluster:268	5805
cluster:268	29498
cluster:268	19286
cluster:269	29534
cluster:269	19302
cluster:269	5828
cluster:270	5830
cluster:270	19305
cluster:270	312703
cluster:271	64192
cluster:271	110391
cluster:271	5860
cluster:272	24708
cluster:272	19645
cluster:272	5925
cluster:273	19133
cluster:273	25534
cluster:273	5961
cluster:276	19881
cluster:276	6094
cluster:276	309201
cluster:279	100125595
cluster:279	20147
cluster:279	6247
cluster:281	25049
cluster:281	6310
cluster:281	20238
cluster:283	110880
cluster:283	25722
cluster:283	6329
cluster:285	6444
cluster:285	497892
cluster:285	24052
cluster:286	25065
cluster:286	20495
cluster:286	6557
cluster:287	20497
cluster:287	6559
cluster:287	54300
cluster:292	6606
cluster:292	6607
cluster:292	20595
cluster:292	64301
cluster:293	20617
cluster:293	6622
cluster:293	29219
cluster:294	140586
cluster:294	6662
cluster:294	20682
cluster:295	314251
cluster:295	20741
cluster:295	6710
cluster:297	20845
cluster:297	25557
cluster:297	6770
cluster:298	310836
cluster:298	24
cluster:298	11304
cluster:303	21452
cluster:303	64365
cluster:303	6948
cluster:306	7051
cluster:306	21816
cluster:306	60335
cluster:307	7054
cluster:307	25085
cluster:307	21823
cluster:308	21824
cluster:308	7056
cluster:308	83580
cluster:309	7137
cluster:309	21954
cluster:309	29248
cluster:313	7172
cluster:313	22017
cluster:313	690050
cluster:314	60445
cluster:314	7248
cluster:314	64930
cluster:315	22095
cluster:315	25360
cluster:315	7253
cluster:317	22139
cluster:317	7276
cluster:317	24856
cluster:319	22247
cluster:319	288051
cluster:319	7372
cluster:320	7389
cluster:320	22275
cluster:320	29421
cluster:324	7498
cluster:324	497811
cluster:324	22436
cluster:327	326
cluster:327	11634
cluster:327	294328
cluster:328	54225
cluster:328	238055
cluster:328	338
cluster:330	287552
cluster:330	104184
cluster:330	642
cluster:331	788
cluster:331	117035
cluster:331	57279
cluster:332	24247
cluster:332	12374
cluster:332	846
cluster:333	12575
cluster:333	1026
cluster:333	114851
cluster:334	12662
cluster:334	24942
cluster:334	1121
cluster:335	83534
cluster:335	12751
cluster:335	1200
cluster:339	12983
cluster:339	12984
cluster:339	171081
cluster:339	1439
cluster:344	2068
cluster:344	13871
cluster:344	308415
cluster:345	311215
cluster:345	2132
cluster:345	14043
cluster:347	2582
cluster:347	74246
cluster:347	114860
cluster:349	14667
cluster:349	2760
cluster:349	282838
cluster:350	14715
cluster:350	2798
cluster:350	81668
cluster:352	14571
cluster:352	25062
cluster:352	2820
cluster:353	14913
cluster:353	2978
cluster:353	301233
cluster:358	15488
cluster:358	79244
cluster:358	3295
cluster:359	116465
cluster:359	3459
cluster:359	15979
cluster:360	16184
cluster:360	25704
cluster:360	3559
cluster:362	297025
cluster:362	3792
cluster:362	23925
cluster:363	287702
cluster:363	3872
cluster:363	16667
cluster:369	16997
cluster:369	4053
cluster:369	59106
cluster:371	18472
cluster:371	83572
cluster:371	5048
cluster:372	4598
cluster:372	17855
cluster:372	81727
cluster:374	17970
cluster:374	364018
cluster:374	4688
cluster:375	18010
cluster:375	24591
cluster:375	4758
cluster:376	56761
cluster:376	4854
cluster:376	18131
cluster:377	690163
cluster:377	5019
cluster:377	67041
cluster:379	5122
cluster:379	18548
cluster:380	307401
cluster:380	225600
cluster:380	5145
cluster:384	64204
cluster:384	18810
cluster:384	5339
cluster:385	330260
cluster:385	296851
cluster:385	5445
cluster:386	5664
cluster:386	19165
cluster:386	81751
cluster:387	84600
cluster:387	5896
cluster:387	19373
cluster:388	5993
cluster:388	310659
cluster:389	20339
cluster:389	25544
cluster:389	6401
cluster:390	29500
cluster:390	6555
cluster:390	20494
cluster:392	6647
cluster:392	20655
cluster:392	24786
cluster:393	6794
cluster:393	314621
cluster:393	20869
cluster:394	81805
cluster:394	6821
cluster:394	211389
cluster:395	3172
cluster:395	25735
cluster:395	15378
cluster:396	21410
cluster:396	25640
cluster:396	6928
cluster:397	89804
cluster:397	21687
cluster:397	7010
cluster:398	21832
cluster:398	7066
cluster:398	81811
cluster:400	12021
cluster:400	64557
cluster:400	580
cluster:402	22160
cluster:402	7291
cluster:402	85489
cluster:403	58850
cluster:403	11614
cluster:403	190
cluster:405	24186
cluster:405	213
cluster:405	11657
cluster:408	272
cluster:408	25095
cluster:408	11717
cluster:409	306586
cluster:409	275
cluster:409	434437
cluster:413	353
cluster:413	292072
cluster:413	11821
cluster:416	546
cluster:416	246284
cluster:416	22589
cluster:417	24221
cluster:417	551
cluster:417	11998
cluster:418	29687
cluster:418	713
cluster:418	12260
cluster:420	12961
cluster:420	1415
cluster:420	25422
cluster:425	2161
cluster:425	58992
cluster:425	306761
cluster:426	29251
cluster:426	14061
cluster:426	2147
cluster:428	361969
cluster:428	2243
cluster:428	14161
cluster:429	99571
cluster:429	2266
cluster:429	24367
cluster:430	2488
cluster:430	25447
cluster:430	14308
cluster:431	308586
cluster:431	56546
cluster:433	14573
cluster:433	2668
cluster:433	25453
cluster:437	294673
cluster:437	15212
cluster:437	3074
cluster:441	83535
cluster:441	3767
cluster:441	16514
cluster:443	25696
cluster:443	22359
cluster:443	7436
cluster:444	282839
cluster:444	4158
cluster:444	17200
cluster:445	4359
cluster:445	17528
cluster:445	24564
cluster:446	18416
cluster:446	5009
cluster:446	25611
cluster:447	24624
cluster:447	5096
cluster:447	66904
cluster:448	5354
cluster:448	24943
cluster:448	18823
cluster:449	494322
cluster:449	5378
cluster:449	227099
cluster:452	499617
cluster:452	170767
cluster:452	5994
cluster:455	6295
cluster:455	20215
cluster:455	25539
cluster:456	6439
cluster:456	20388
cluster:456	192155
cluster:457	20597
cluster:457	6609
cluster:457	308909
cluster:459	24817
cluster:459	6927
cluster:459	21405
cluster:460	22059
cluster:460	7157
cluster:460	24842
cluster:461	7173
cluster:461	22018
cluster:461	54314
cluster:462	7249
cluster:462	22084
cluster:462	24855
cluster:463	22094
cluster:463	25653
cluster:463	7252
cluster:464	22178
cluster:464	298182
cluster:464	7306
cluster:465	7428
cluster:465	24874
cluster:465	22346
cluster:466	7450
cluster:466	22371
cluster:466	116669
cluster:467	12951
cluster:467	60446
cluster:467	1406
cluster:468	8200
cluster:468	14563
cluster:468	252835
cluster:469	110257
cluster:469	287167
cluster:469	3040
cluster:469	3039
cluster:469	15122
cluster:472	731
cluster:472	298288
cluster:472	230558
cluster:473	114103
cluster:473	3568
cluster:473	16192
cluster:474	3570
cluster:474	16194
cluster:474	24499
cluster:475	14129
cluster:475	2209
cluster:475	295279
cluster:477	2215
cluster:477	2214
cluster:477	304966
cluster:477	246256
cluster:478	3586
cluster:478	16153
cluster:478	25325
cluster:479	13137
cluster:479	13136
cluster:479	64036
cluster:479	1604
cluster:480	3552
cluster:480	16175
cluster:480	24493
cluster:481	24494
cluster:481	16176
cluster:481	3553
cluster:486	2638
cluster:486	24384
cluster:486	14473
cluster:487	16168
cluster:487	25670
cluster:487	3600
cluster:488	16183
cluster:488	116562
cluster:488	3558
cluster:489	117517
cluster:489	109828
cluster:489	730
cluster:491	16189
cluster:491	287287
cluster:491	3565
cluster:492	16198
cluster:492	116558
cluster:492	3578
cluster:493	929
cluster:493	12475
cluster:493	60350
cluster:495	21354
cluster:495	24811
cluster:495	6890
cluster:496	7124
cluster:496	24835
cluster:496	21926
cluster:497	4049
cluster:497	25008
cluster:497	16992
cluster:498	16006
cluster:498	25685
cluster:498	3484
cluster:499	3485
cluster:499	25662
cluster:499	16008
cluster:500	16009
cluster:500	24484
cluster:500	3486
cluster:502	24498
cluster:502	3569
cluster:502	16193
cluster:503	24446
cluster:503	3082
cluster:503	15234
cluster:504	4846
cluster:504	24600
cluster:504	18127
cluster:505	69379
cluster:505	733
cluster:505	296545
cluster:508	25406
cluster:508	960
cluster:508	12505
cluster:510	24483
cluster:510	16002
cluster:510	3481
cluster:511	3263
cluster:511	58917
cluster:511	15458
cluster:513	920
cluster:513	12504
cluster:513	24932
cluster:515	24482
cluster:515	16000
cluster:515	3479
cluster:519	624
cluster:519	25245
cluster:519	12062
cluster:521	171055
cluster:521	974
cluster:521	15985
cluster:522	59107
cluster:522	268977
cluster:522	4052
cluster:523	3588
cluster:523	304091
cluster:523	16155
cluster:524	15975
cluster:524	3454
cluster:524	288264
cluster:525	4689
cluster:525	17972
cluster:525	500904
cluster:526	16409
cluster:526	25021
cluster:526	3684
cluster:527	24224
cluster:527	12043
cluster:527	596
cluster:530	6648
cluster:530	24787
cluster:530	20656
cluster:531	14782
cluster:531	116686
cluster:531	2936
cluster:532	29169
cluster:532	22370
cluster:532	7448
cluster:533	25385
cluster:533	14103
cluster:533	356
cluster:534	3598
cluster:534	171060
cluster:534	16165
cluster:535	16156
cluster:535	3589
cluster:535	171040
cluster:536	178
cluster:536	362029
cluster:536	77559
cluster:537	12772
cluster:537	729230
cluster:539	20343
cluster:539	6402
cluster:539	29259
cluster:540	7040
cluster:540	21803
cluster:540	59086
cluster:542	268860
cluster:542	18
cluster:542	81632
cluster:543	43
cluster:543	11423
cluster:543	83817
cluster:550	140
cluster:550	11542
cluster:551	11550
cluster:551	29413
cluster:551	146
cluster:553	151
cluster:553	24174
cluster:553	11552
cluster:554	269378
cluster:554	29443
cluster:554	191
cluster:560	11684
cluster:560	239
cluster:560	287454
cluster:561	25290
cluster:561	11689
cluster:561	240
cluster:563	25380
cluster:563	16952
cluster:563	301
cluster:564	24211
cluster:564	11928
cluster:564	476
cluster:568	54140
cluster:568	25107
cluster:568	552
cluster:569	12039
cluster:569	25244
cluster:569	593
cluster:570	12061
cluster:570	623
cluster:570	81509
cluster:572	644
cluster:572	109778
cluster:572	116599
cluster:573	233016
cluster:573	292737
cluster:573	645
cluster:574	24230
cluster:574	12257
cluster:574	706
cluster:578	776
cluster:578	29716
cluster:578	12289
cluster:579	25399
cluster:579	12293
cluster:579	781
cluster:582	29658
cluster:582	786
cluster:582	12299
cluster:583	12424
cluster:583	885
cluster:583	25298
cluster:585	915
cluster:585	12500
cluster:585	25710
cluster:586	315609
cluster:586	916
cluster:586	12501
cluster:587	1081
cluster:587	12640
cluster:587	116700
cluster:591	25101
cluster:591	1136
cluster:591	110834
cluster:592	25590
cluster:592	1137
cluster:592	11438
cluster:593	11441
cluster:593	1139
cluster:593	25302
cluster:594	24261
cluster:594	11443
cluster:594	1140
cluster:595	11444
cluster:595	1141
cluster:595	54239
cluster:598	1384
cluster:598	311849
cluster:598	12908
cluster:599	12918
cluster:599	81648
cluster:599	1392
cluster:600	116630
cluster:600	12981
cluster:600	1437
cluster:601	1441
cluster:601	298518
cluster:601	12986
cluster:615	1621
cluster:615	13166
cluster:615	25699
cluster:616	79127
cluster:616	13178
cluster:616	1633
cluster:618	24311
cluster:618	1644
cluster:618	13195
cluster:620	13370
cluster:620	1733
cluster:620	25430
cluster:621	65162
cluster:621	13371
cluster:621	1734
cluster:623	29238
cluster:623	13490
cluster:623	1814
cluster:624	2056
cluster:624	24335
cluster:624	13856
cluster:625	14164
cluster:625	25317
cluster:625	2246
cluster:627	14276
cluster:627	293154
cluster:627	2350
cluster:628	14459
cluster:628	2520
cluster:628	25320
cluster:629	14394
cluster:629	2554
cluster:629	29705
cluster:631	14397
cluster:631	2557
cluster:631	140675
cluster:633	2562
cluster:633	24922
cluster:633	14402
cluster:635	14415
cluster:635	2571
cluster:635	24379
cluster:637	288259
cluster:637	2618
cluster:637	14450
cluster:638	2621
cluster:638	14456
cluster:638	58935
cluster:639	56316
cluster:639	2677
cluster:639	81716
cluster:640	25321
cluster:640	14602
cluster:640	2692
cluster:641	2796
cluster:641	25194
cluster:641	14714
cluster:645	14811
cluster:645	2903
cluster:645	24409
cluster:646	24410
cluster:646	14812
cluster:646	2904
cluster:647	2905
cluster:647	14813
cluster:647	24411
cluster:648	24412
cluster:648	2906
cluster:648	14814
cluster:649	2911
cluster:649	14816
cluster:649	24414
cluster:651	24416
cluster:651	2913
cluster:651	108069
cluster:654	14823
cluster:654	60590
cluster:654	2918
cluster:658	14866
cluster:658	64352
cluster:658	100912430
cluster:658	2947
cluster:660	2950
cluster:660	24426
cluster:660	100042625
cluster:660	14870
cluster:660	14869
cluster:664	2983
cluster:664	54195
cluster:664	25202
cluster:665	14923
cluster:665	303179
cluster:665	2987
cluster:668	15465
cluster:668	24448
cluster:668	3269
cluster:669	25075
cluster:669	15551
cluster:669	3351
cluster:671	3359
cluster:671	79246
cluster:671	15561
cluster:673	64354
cluster:673	15565
cluster:673	3362
cluster:675	3384
cluster:675	360647
cluster:675	15896
cluster:676	25151
cluster:676	16004
cluster:676	3482
cluster:677	3554
cluster:677	25663
cluster:677	16177
cluster:679	24497
cluster:679	16191
cluster:679	3567
cluster:680	16196
cluster:680	25647
cluster:680	3574
cluster:681	84405
cluster:681	3592
cluster:681	16159
cluster:685	16420
cluster:685	3694
cluster:685	311061
cluster:692	4254
cluster:692	60427
cluster:692	17311
cluster:693	25333
cluster:693	17313
cluster:693	4256
cluster:695	1728
cluster:695	24314
cluster:695	18104
cluster:696	291084
cluster:696	18105
cluster:696	4835
cluster:697	109648
cluster:697	4852
cluster:697	100912228
cluster:697	24604
cluster:699	18162
cluster:699	25339
cluster:699	4883
cluster:700	4886
cluster:700	29358
cluster:700	18166
cluster:701	18167
cluster:701	66024
cluster:701	4887
cluster:708	54611
cluster:708	50678
cluster:708	5139
cluster:709	5140
cluster:709	18576
cluster:709	29516
cluster:712	289950
cluster:712	5162
cluster:712	68263
cluster:713	5241
cluster:713	18667
cluster:713	25154
cluster:715	18778
cluster:715	5319
cluster:715	29526
cluster:716	29354
cluster:716	18784
cluster:716	5322
cluster:717	5327
cluster:717	18791
cluster:717	25692
cluster:719	287527
cluster:719	18816
cluster:719	5345
cluster:721	5430
cluster:721	20020
cluster:721	363633
cluster:722	231329
cluster:722	5431
cluster:722	289561
cluster:723	18976
cluster:723	5443
cluster:723	24664
cluster:725	18984
cluster:725	5447
cluster:725	29441
cluster:726	19035
cluster:726	5479
cluster:726	64367
cluster:727	5480
cluster:727	291463
cluster:727	19038
cluster:730	19075
cluster:730	5557
cluster:731	5558
cluster:731	19076
cluster:731	301323
cluster:732	19109
cluster:732	24683
cluster:732	5617
cluster:733	5618
cluster:733	19116
cluster:733	24684
cluster:734	363472
cluster:734	546336
cluster:734	5638
cluster:735	5639
cluster:735	361570
cluster:735	65116
cluster:736	63889
cluster:736	498475
cluster:736	5729
cluster:736	19214
cluster:737	5730
cluster:737	25526
cluster:737	19215
cluster:738	5731
cluster:738	19216
cluster:738	25637
cluster:739	81752
cluster:739	5732
cluster:739	19217
cluster:741	19220
cluster:741	5737
cluster:741	25652
cluster:743	5742
cluster:743	24693
cluster:743	19224
cluster:747	300079
cluster:747	6122
cluster:747	27367
cluster:748	6124
cluster:748	64302
cluster:748	67891
cluster:756	19899
cluster:756	81766
cluster:756	6141
cluster:763	6152
cluster:763	64307
cluster:763	68193
cluster:766	64640
cluster:766	100362027
cluster:766	6156
cluster:766	19946
cluster:768	19943
cluster:768	64638
cluster:768	6158
cluster:776	6173
cluster:776	100912182
cluster:779	27050
cluster:779	140654
cluster:779	6188
cluster:783	6193
cluster:783	25538
cluster:783	20103
cluster:788	67097
cluster:788	6204
cluster:788	100363439
cluster:788	81773
cluster:794	20055
cluster:794	140655
cluster:794	6217
cluster:799	6228
cluster:799	66475
cluster:799	124323
cluster:803	94266
cluster:803	6232
cluster:806	20133
cluster:806	685579
cluster:806	6240
cluster:810	6324
cluster:810	29686
cluster:810	20266
cluster:811	6337
cluster:811	20276
cluster:811	25122
cluster:813	6462
cluster:813	24775
cluster:813	20415
cluster:816	83511
cluster:816	20538
cluster:816	6530
cluster:817	25553
cluster:817	6532
cluster:817	15567
cluster:819	24797
cluster:819	6750
cluster:819	20604
cluster:820	20605
cluster:820	6751
cluster:820	25033
cluster:824	21338
cluster:824	24808
cluster:824	6870
cluster:825	21390
cluster:825	24816
cluster:825	6915
cluster:826	71775
cluster:826	315963
cluster:828	25625
cluster:828	21937
cluster:828	7132
cluster:829	21938
cluster:829	7133
cluster:829	156767
cluster:830	360243
cluster:830	7153
cluster:830	21973
cluster:833	7283
cluster:833	103733
cluster:833	252921
cluster:834	7298
cluster:834	22171
cluster:834	29261
cluster:838	25361
cluster:838	22329
cluster:838	7412
cluster:839	301348
cluster:839	22637
cluster:839	7535
cluster:840	291133
cluster:840	7915
cluster:840	214579
cluster:842	242202
cluster:842	171115
cluster:842	8654
cluster:843	26433
cluster:843	8985
cluster:843	288583
cluster:846	227290
cluster:846	14
cluster:846	301512
cluster:849	224742
cluster:849	23
cluster:849	85493
cluster:854	104112
cluster:854	47
cluster:854	24159
cluster:855	11434
cluster:855	24163
cluster:855	49
cluster:856	50
cluster:856	79250
cluster:856	11429
cluster:862	171009
cluster:862	11474
cluster:863	11481
cluster:863	25366
cluster:863	93
cluster:865	102
cluster:865	11487
cluster:865	29650
cluster:866	113
cluster:866	84420
cluster:866	11513
cluster:868	11515
cluster:868	302950
cluster:868	115
cluster:869	116
cluster:869	24166
cluster:869	11516
cluster:870	11517
cluster:870	117
cluster:870	24167
cluster:871	305449
cluster:871	10227
cluster:871	68294
cluster:872	298199
cluster:872	123
cluster:872	11520
cluster:873	25026
cluster:873	11535
cluster:873	133
cluster:874	141
cluster:874	11544
cluster:874	25371
cluster:875	159
cluster:875	11566
cluster:875	289276
cluster:878	11568
cluster:878	165
cluster:878	305494
cluster:879	29466
cluster:879	14797
cluster:879	166
cluster:881	173
cluster:881	282708
cluster:881	280662
cluster:883	11596
cluster:883	177
cluster:883	81722
cluster:884	11686
cluster:884	287425
cluster:884	242
cluster:886	247
cluster:886	266604
cluster:886	11688
cluster:888	23802
cluster:888	267
cluster:888	361367
cluster:896	66401
cluster:896	297998
cluster:896	318
cluster:897	320
cluster:897	83589
cluster:897	319924
cluster:898	29722
cluster:898	322
cluster:898	11785
cluster:899	11796
cluster:899	330
cluster:899	78971
cluster:900	60371
cluster:900	11797
cluster:900	329
cluster:901	331
cluster:901	11798
cluster:901	63879
cluster:906	384
cluster:906	29215
cluster:906	11847
cluster:907	394
cluster:907	299012
cluster:907	11855
cluster:908	396
cluster:908	360678
cluster:908	192662
cluster:910	29657
cluster:910	11865
cluster:910	406
cluster:911	305235
cluster:911	419
cluster:911	109979
cluster:912	11890
cluster:912	29403
cluster:912	433
cluster:913	501
cluster:913	110695
cluster:913	291450
cluster:914	83615
cluster:914	54411
cluster:914	537
cluster:915	12007
cluster:915	563
cluster:915	25294
cluster:916	571
cluster:916	12013
cluster:916	304127
cluster:917	578
cluster:917	116502
cluster:917	12018
cluster:920	287034
cluster:920	21935
cluster:920	608
cluster:922	12075
cluster:922	25394
cluster:922	631
cluster:923	637
cluster:923	12122
cluster:923	64625
cluster:924	638
cluster:924	114496
cluster:924	12124
cluster:925	12142
cluster:925	309871
cluster:925	639
cluster:926	650
cluster:926	12156
cluster:926	29373
cluster:927	110075
cluster:927	651
cluster:927	25667
cluster:929	659
cluster:929	12168
cluster:929	140590
cluster:930	140932
cluster:930	224630
cluster:930	662
cluster:931	687
cluster:931	16601
cluster:931	117560
cluster:933	12236
cluster:933	701
cluster:933	171576
cluster:936	813
cluster:936	64366
cluster:936	12321
cluster:942	12390
cluster:942	858
cluster:942	363425
cluster:946	84389
cluster:946	902
cluster:946	66671
cluster:947	904
cluster:947	315291
cluster:947	12455
cluster:949	25069
cluster:949	21941
cluster:949	943
cluster:950	944
cluster:950	21949
cluster:950	683163
cluster:954	958
cluster:954	171369
cluster:954	21939
cluster:955	287435
cluster:955	12514
